epoch,accuracy,loss,val_accuracy,val_loss
0,0.7358889,0.9480958627806769,0.3335552215576172,1.3130932233529862
1,0.7699,0.7866962477789985,0.3335552215576172,1.2783384903854178
2,0.8027222,0.7035946280505923,0.9413161873817444,0.5067313235930384
3,0.9177778,0.4213187443640497,0.950814962387085,0.36110856880324316
4,0.9172111,0.398973028102186,0.95142662525177,0.32746527619782945
5,0.9195222,0.3808643879254659,0.9503112435340881,0.29382732511799853
6,0.93601114,0.34801356679466033,0.9527938961982727,0.2700305043733146
7,0.9196111,0.3749681686109967,0.9393012523651123,0.42110058786418214
8,0.9059111,0.39913338973124823,0.9619148969650269,0.27095547655186303
9,0.92175555,0.3769045682390531,0.9488000869750977,0.24877743605677505
10,0.8742,0.4883116252144178,0.9442125558853149,0.37219604341278995
11,0.92432225,0.37770038053062227,0.9380419254302979,0.3352932858056359
12,0.91555554,0.3854868407845497,0.9455258250236511,0.26457378215779803
13,0.9368778,0.3191698812842369,0.9635699391365051,0.1857391685645243
14,0.9467667,0.2734877560476462,0.9520922303199768,0.19995379463967836
15,0.9484556,0.2611348711424404,0.9574893116950989,0.19138556673253715
16,0.9478111,0.25305864705840747,0.9487640857696533,0.22564428499273348
17,0.9496667,0.2389827136543062,0.9392653107643127,0.21536841819127367
18,0.9482889,0.23518820679154662,0.9567877054214478,0.1800027649485877
19,0.94927776,0.22789505814943048,0.9506890177726746,0.19502507804334057
20,0.95023334,0.2190710284024477,0.9650631546974182,0.2527011698228169
21,0.9503889,0.2181557960205608,0.9569315910339355,0.16881881073862234
22,0.95144445,0.21211292853156727,0.9524340629577637,0.18231420118681524
23,0.95247775,0.2092170425458087,0.9546288847923279,0.1762083270049371
24,0.9535556,0.20577549062106346,0.9555283784866333,0.1745428446222169
25,0.95225555,0.20604808559715748,0.954718828201294,0.17401422852159307
26,0.95272225,0.20429672319822842,0.9583168625831604,0.16666416760900102
27,0.9510555,0.20739762620197402,0.9499514102935791,0.1825073956732506
28,0.9454333,0.2510767812028527,0.9591264128684998,0.2304419254395492
29,0.9501111,0.24692783545719252,0.9517144560813904,0.1704056910461829
30,0.9557,0.19452545321616863,0.951066792011261,0.18174105386399475
31,0.95555556,0.18612777223785718,0.9543949961662292,0.16348688831829716
32,0.94834447,0.21798342911965318,0.9631022214889526,0.16174930509569913
33,0.9495222,0.2059047353224622,0.9568236470222473,0.17069387700448507
34,0.94996667,0.19548864933417903,0.9556722640991211,0.17128186456779562
35,0.95044446,0.18991935752414996,0.9526139497756958,0.17864409698351102
36,0.95037776,0.18331743167142073,0.9538732767105103,0.18601317570556475
37,0.95066667,0.17794370633578963,0.9480264782905579,0.2128819378225213
38,0.95152223,0.175753806308243,0.953243613243103,0.19292343705547083
39,0.9530111,0.1714595069102115,0.9545209407806396,0.1722861022882936
40,0.95408887,0.16811712605059148,0.956014096736908,0.1653194519759545
41,0.95534444,0.16635595272348988,0.9586586356163025,0.18468444655673055
42,0.95596665,0.1648772226686279,0.9582808613777161,0.15598990102471802
43,0.95695555,0.16195825196339025,0.9498794674873352,0.17234449270697902
44,0.9568222,0.16373759389768044,0.9543589949607849,0.17937330046005132
45,0.95696664,0.16176395360893672,0.955060601234436,0.17024191206906727
46,0.95764446,0.15865785357488527,0.9601698517799377,0.15673487316652682
47,0.9582555,0.15709293247030842,0.961824893951416,0.14905865027556114
48,0.9564222,0.17637928122124738,0.9630482792854309,0.1642749663062546
49,0.95927775,0.1566515068365468,0.9588925242424011,0.15993928052708162
