epoch,accuracy,loss,val_accuracy,val_loss
0,0.9981377124786377,0.017429472878575325,0.998923122882843,0.010816801339387894
1,0.9990229606628418,0.010544639080762863,0.9990769624710083,0.008919866755604744
2,0.999144434928894,0.007910509593784809,0.998971700668335,0.011573749594390392
3,0.9992442727088928,0.007675576023757458,0.9986316561698914,0.01610485650599003
4,0.9992982745170593,0.012786688283085823,0.9991984367370605,0.011884532868862152
5,0.9992928504943848,0.0064522866159677505,0.9992308020591736,0.009628966450691223
6,0.9993252754211426,0.0073462678119540215,0.9991984367370605,0.028932709246873856
7,0.9994035363197327,0.005704110953956842,0.9991174340248108,0.021602004766464233
8,0.9994224309921265,0.013765937648713589,0.9993117451667786,0.02243850938975811
9,0.9994116425514221,0.007445335853844881,0.9993036985397339,0.027006806805729866
10,0.9994547963142395,0.010399878956377506,0.9989312291145325,0.02874821238219738
11,0.9994844794273376,0.003786911256611347,0.9993441700935364,0.03745013475418091
12,0.9994710087776184,0.020375654101371765,0.9992955923080444,0.03979123756289482
13,0.9994655847549438,0.0046940455213189125,0.9991903305053711,0.0406387560069561
14,0.9995222687721252,0.005600727628916502,0.9994899034500122,0.03346630558371544
15,0.9994899034500122,0.004028818104416132,0.9993603825569153,0.03444864973425865
16,0.9995465874671936,0.008582035079598427,0.9993117451667786,0.04958672448992729
17,0.9995303750038147,0.013148046098649502,0.9993765354156494,0.04659343883395195
18,0.9995681643486023,0.028272319585084915,0.9994494318962097,0.0697803944349289
19,0.9995681643486023,0.009551028721034527,0.9992955923080444,0.05156848579645157
20,0.9995303750038147,0.011051288805902004,0.9993765354156494,0.03632018342614174
21,0.999603271484375,0.0022754755336791277,0.9994170069694519,0.05254758521914482
22,0.9995924830436707,0.0057862247340381145,0.9994089603424072,0.04911741986870766
23,0.9995870590209961,0.005524919833987951,0.9990607500076294,0.05421079322695732
24,0.9996329545974731,0.004207353573292494,0.9994655847549438,0.05448686331510544
25,0.999603271484375,0.008365895599126816,0.99936842918396,0.07037001848220825
26,0.9996329545974731,0.014727089554071426,0.9994575381278992,0.062220990657806396
27,0.9996950030326843,0.002004078822210431,0.9993846416473389,0.069612056016922
28,0.9996437430381775,0.002867744769901037,0.9994494318962097,0.07105578482151031
29,0.9996896386146545,0.0032473476603627205,0.9991498589515686,0.06715346872806549
30,0.9997057914733887,0.003204332198947668,0.9994575381278992,0.06685659289360046
31,0.9996653199195862,0.00916693639010191,0.9991903305053711,0.06610347330570221
32,0.9996761083602905,0.009958702139556408,0.9994736909866333,0.07600349187850952
33,0.9996950030326843,0.003370963968336582,0.9994170069694519,0.08722271025180817
34,0.9996707439422607,0.003944016061723232,0.9994736909866333,0.0780048742890358
35,0.9996248483657837,0.004544302821159363,0.9994736909866333,0.07437440007925034
36,0.9997166395187378,0.006008554250001907,0.9994494318962097,0.06365877389907837
37,0.9996680021286011,0.005150207318365574,0.9994899034500122,0.08011946827173233
38,0.9997327923774719,0.0015297138597816229,0.9993522763252258,0.08690725266933441
39,0.9996868968009949,0.002007091650739312,0.9994170069694519,0.09791860729455948
40,0.9996734261512756,0.004001257009804249,0.9994655847549438,0.09796730428934097
41,0.9997004270553589,0.005316107999533415,0.9994008541107178,0.09644684195518494
42,0.9996923208236694,0.010764751583337784,0.9993522763252258,0.12839281558990479
43,0.9996896386146545,0.012563657015562057,0.9994413256645203,0.10158815234899521
44,0.9997112154960632,0.01090717688202858,0.9994332194328308,0.09982438385486603
45,0.9997085332870483,0.0038286629132926464,0.9993279576301575,0.10144108533859253
46,0.9997652173042297,0.0029986922163516283,0.9994655847549438,0.1017884761095047
47,0.999730110168457,0.0016215612413361669,0.9994980096817017,0.10873115807771683
48,0.9997138977050781,0.0019953609444200993,0.9994494318962097,0.10624780505895615
49,0.999730110168457,0.002230627229437232,0.9994494318962097,0.10847020149230957
50,0.9996788501739502,0.016009554266929626,0.9991984367370605,0.10276085138320923
51,0.9996761083602905,0.008476587012410164,0.9994332194328308,0.1029834970831871
52,0.9997327923774719,0.004632541444152594,0.9994170069694519,0.12022305279970169
53,0.9997193217277527,0.00833081267774105,0.9994413256645203,0.1255527287721634
54,0.9997166395187378,0.003292597597464919,0.9993927478790283,0.12919776141643524
55,0.9997193217277527,0.01237258967012167,0.9994494318962097,0.09875284880399704
56,0.9997597932815552,0.002292265184223652,0.9993441700935364,0.13117431104183197
57,0.9997490048408508,0.0023484094999730587,0.998923122882843,0.18464598059654236
58,0.9997246861457825,0.005396483466029167,0.9993765354156494,0.13451923429965973
